Region,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2017,2018,2019,2021,2022,2023,2024
Japan,BAU,Carbon Stock|Forest|Total,Mt C,1489.431235924306,1596.3265457902266,1680.7992259202208,1746.571101234715,1797.2336538127367,1835.9380720471815,1865.3125551851635,,,,,,,
Japan,BAU,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-97.13225754205186,-78.3898939016751,-61.94663209532905,-48.23270856396216,-37.1525385572162,-28.383240038593023,-21.541287634519964,,,,,,,
Latin America,BAU,Area|Forest|Age Class|0-20,Million ha,13.2235,4.984,1.5717999999999999,0.3679,0.0,0.0,0.0,,,,,,,
Latin America,BAU,Area|Forest|Age Class|21-40,Million ha,69.3357,58.39,44.0369,26.7239,13.2235,4.984,1.5717999999999999,,,,,,,
Latin America,BAU,Area|Forest|Age Class|41-60,Million ha,51.7897,63.068999999999996,71.741,76.45439999999999,69.3357,58.39,44.0369,,,,,,,
Latin America,BAU,Area|Forest|Age Class|61+,Million ha,706.4368000000001,714.3427,723.436,737.2395,758.2265,777.4117,795.177,,,,,,,
Latin America,BAU,Carbon Stock|Forest|Total,Mt C,93581.83610773338,94478.37688647864,95298.80433013281,96036.60923264573,96687.0947482508,97250.18305624403,97731.47272199932,,,,,,,
Latin America,BAU,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-707.4981076662812,-657.4632377465231,-601.6467920130636,-541.0569285094775,-477.0227114437129,-412.9314258617001,-352.94575488722165,,,,,,,
Middle East & North Africa,BAU,Area|Forest|Age Class|0-20,Million ha,0.0097,0.0083,0.0062,0.0007,0.0,0.0,0.0,,,,,,,
Middle East & North Africa,BAU,Area|Forest|Age Class|21-40,Million ha,0.1156,0.0525,0.0166,0.011800000000000001,0.0097,0.0083,0.0062,,,,,,,
Middle East & North Africa,BAU,Area|Forest|Age Class|41-60,Million ha,1.9464,1.1485,0.6122000000000001,0.2809,0.1156,0.0525,0.0166,,,,,,,
Middle East & North Africa,BAU,Area|Forest|Age Class|61+,Million ha,12.6572,13.5196,14.093900000000001,14.4355,14.6036,14.6681,14.7061,,,,,,,
Middle East & North Africa,BAU,Carbon Stock|Forest|Total,Mt C,474.9161735663953,484.94564821366976,492.55286846784264,498.3806299067678,502.9486986661947,506.6437233500604,509.7134450105792,,,,,,,
Middle East & North Africa,BAU,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-9.748371298565974,-7.354948074667958,-5.578628186393425,-4.273691721878453,-3.349917090246349,-2.7096847681681995,-2.2511292177138413,,,,,,,
Oceania,BAU,Area|Forest|Age Class|0-20,Million ha,3.9089,1.7637,0.5572,0.0721,0.0,0.0,0.0,,,,,,,
Oceania,BAU,Area|Forest|Age Class|21-40,Million ha,14.2934,13.6769,11.648499999999999,8.0702,3.9089,1.7637,0.5572,,,,,,,
Oceania,BAU,Area|Forest|Age Class|41-60,Million ha,11.5494,11.0775,11.4,12.6549,14.2934,13.6769,11.648499999999999,,,,,,,
Oceania,BAU,Area|Forest|Age Class|61+,Million ha,84.6846,87.9182,90.83059999999999,93.63909999999998,96.23400000000001,98.9957,102.2306,,,,,,,
Oceania,BAU,Carbon Stock|Forest|Total,Mt C,11555.159711538134,11853.528863287527,12120.296731918907,12355.972835705657,12562.382690277414,12742.22602046504,12898.590417438983,,,,,,,
Oceania,BAU,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-241.24463593382401,-218.80404461622194,-195.6297703296774,-172.82914277695093,-151.36722668595485,-131.88510880425852,-114.66722444755813,,,,,,,
ROW,BAU,Area|Forest|Age Class|0-20,Million ha,8.3474,4.243,1.1695,0.0093,0.0,0.0,0.0,,,,,,,
ROW,BAU,Area|Forest|Age Class|21-40,Million ha,10.7432,12.919,13.451699999999999,11.698,8.3474,4.243,1.1695,,,,,,,
ROW,BAU,Area|Forest|Age Class|41-60,Million ha,7.710500000000001,7.7089,8.3234,9.2937,10.7432,12.919,13.451699999999999,,,,,,,
ROW,BAU,Area|Forest|Age Class|61+,Million ha,28.2742,30.2044,32.1307,34.0743,35.984700000000004,37.9133,40.4541,,,,,,,
ROW,BAU,Carbon Stock|Forest|Total,Mt C,2032.8121480996579,2205.864731840667,2348.337405766256,2462.8434585637983,2554.833991298346,2629.6187717402668,2691.418984513741,,,,,,,
ROW,BAU,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-145.28607992507813,-126.90522807673997,-104.47996087876506,-83.97110538486463,-67.45972400533512,-54.842172324075065,-45.320156033881176,,,,,,,
Republic of Korea,BAU,Area|Forest|Age Class|0-20,Million ha,2.7705,1.3271,0.2339,0.0,0.0,0.0,0.0,,,,,,,
Republic of Korea,BAU,Area|Forest|Age Class|21-40,Million ha,3.0511,4.2782,4.9611,4.3508,2.7705,1.3271,0.2339,,,,,,,
Republic of Korea,BAU,Area|Forest|Age Class|41-60,Million ha,0.2196,0.4273,0.8114,1.5875,3.0511,4.2782,4.9611,,,,,,,
Republic of Korea,BAU,Area|Forest|Age Class|61+,Million ha,0.0056,0.0142,0.0404,0.1085,0.2252,0.4415,0.8518,,,,,,,
Republic of Korea,BAU,Carbon Stock|Forest|Total,Mt C,276.51410383830205,321.6569881989394,358.36351177598647,386.92302197348096,408.4886477527693,424.4574818930276,436.14692989742485,,,,,,,
Republic of Korea,BAU,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-38.18229680966266,-33.1047818644674,-26.918117289834505,-20.94364081149596,-15.81479223814477,-11.71047836952276,-8.572261869891326,,,,,,,
Russia and Neighboring Transition Countries,BAU,Area|Forest|Age Class|0-20,Million ha,4.3016,3.4995,2.5783,0.3044,0.0,0.0,0.0,,,,,,,
Russia and Neighboring Transition Countries,BAU,Area|Forest|Age Class|21-40,Million ha,16.8024,8.5166,5.265899999999999,5.2221,4.3016,3.4995,2.5783,,,,,,,
Russia and Neighboring Transition Countries,BAU,Area|Forest|Age Class|41-60,Million ha,136.8938,94.1748,59.486900000000006,33.1569,16.8024,8.5166,5.265899999999999,,,,,,,
Russia and Neighboring Transition Countries,BAU,Area|Forest|Age Class|61+,Million ha,1290.0188,1341.8257,1380.6855,1409.3332,1426.9126,1436.0005,1440.1724,,,,,,,
Russia and Neighboring Transition Countries,BAU,Carbon Stock|Forest|Total,Mt C,75901.04621452645,76887.96526458615,77766.00124580828,78552.85001886358,79265.67780964774,79915.84550653369,80506.40998224406,,,,,,,
Russia and Neighboring Transition Countries,BAU,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-828.7245890788093,-723.7406367104618,-643.8930528962175,-577.0224335738894,-522.7403799083819,-476.7896443830366,-433.08061552093204,,,,,,,
Sub-Saharan Africa,BAU,Area|Forest|Age Class|0-20,Million ha,59.9683,29.3733,9.0797,1.1267,0.0,0.0,0.0,,,,,,,
Sub-Saharan Africa,BAU,Area|Forest|Age Class|21-40,Million ha,73.6596,93.7871,99.8563,87.5367,59.9683,29.3733,9.0797,,,,,,,
Sub-Saharan Africa,BAU,Area|Forest|Age Class|41-60,Million ha,20.4076,27.959500000000002,37.9946,52.5516,73.6596,93.7871,99.8563,,,,,,,
Sub-Saharan Africa,BAU,Area|Forest|Age Class|61+,Million ha,301.9712,304.8868,309.0761,314.7917,322.3788,332.8463,347.0707,,,,,,,
Sub-Saharan Africa,BAU,Carbon Stock|Forest|Total,Mt C,45630.46672981486,46553.28987384257,47435.25420222867,48250.59251993141,48985.98758870405,49638.0340925243,50209.50433734477,,,,,,,
Sub-Saharan Africa,BAU,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-680.0206964027999,-676.7369722869906,-646.7738408164689,-597.9147663153421,-539.2897170999344,-478.16743613485613,-419.0781795350066,,,,,,,
USA,BAU,Area|Forest|Age Class|0-20,Million ha,6.6686,2.5392,0.647,0.0417,0.0,0.0,0.0,,,,,,,
USA,BAU,Area|Forest|Age Class|21-40,Million ha,31.4663,26.0654,19.7394,12.8838,6.6686,2.5392,0.647,,,,,,,
USA,BAU,Area|Forest|Age Class|41-60,Million ha,63.1011,55.1293,46.3113,37.7789,31.4663,26.0654,19.7394,,,,,,,
USA,BAU,Area|Forest|Age Class|61+,Million ha,207.9874,225.4895,242.5257,258.519,271.0885,280.6188,288.837,,,,,,,
