Region,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
MDG,NetZero,Area|Forest|Age Class|0-20,Million ha,1.1939,0.9372523803926565,0.855304760785313,0.9051571411779695,0.8191568237922819,0.6858057129423756,0.5334044433996254
MDG,NetZero,Area|Forest|Age Class|21-40,Million ha,3.3799,2.99,2.5953,2.0182,1.4225019043141252,1.1658542847067817,1.0839066650994382
MDG,NetZero,Area|Forest|Age Class|41-60,Million ha,3.691,4.2698,4.1095,3.6005,3.3799,2.99,2.5953
MDG,NetZero,Area|Forest|Age Class|61+,Million ha,0.4222,0.7757,1.6984,3.0204,4.1132,5.0455,5.8079
MDG,NetZero,Carbon Stock|Forest|Total,Mt C,255.6968804504358,282.4966310821092,307.291867151672,330.2909510324565,351.32739524552454,370.53378329726615,387.9582298710911
MDG,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-20.731642900742827,-19.65315046322717,-18.183173117679388,-16.86599484590863,-15.426725756249883,-14.084684571277183,-12.77792748747161
