Region,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
NGA,NetZero,Area|Forest|Age Class|0-20,Million ha,2.416,1.9014120844934952,1.3217241689869903,1.0470362534804858,0.9795746422146866,0.8201090027843891,0.6378625577211914
NGA,NetZero,Area|Forest|Age Class|21-40,Million ha,0.7143,1.5328,2.369,2.8415,2.689369667594796,2.1747817520882915,1.5950938365817864
NGA,NetZero,Area|Forest|Age Class|41-60,Million ha,0.0322,0.0655,0.1449,0.2835,0.7143,1.5328,2.369
NGA,NetZero,Area|Forest|Age Class|61+,Million ha,7.2257,7.2302,7.236,7.2413,7.2579,7.2957,7.3809
NGA,NetZero,Carbon Stock|Forest|Total,Mt C,513.2699317398601,537.4197663504666,562.4944791429772,586.850823222386,609.324262135494,629.7772307474754,648.2401975467185
NGA,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-14.814055872943916,-17.70987871444476,-18.38812271450776,-17.861318991566463,-16.48052186961253,-14.998843648786373,-13.539508986111588
