Region,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
MWI,NetZero,Area|Forest|Age Class|0-20,Million ha,0.4569,0.2830179124122517,0.18273582482450368,0.12005373723675553,0.09923801558178863,0.08308298978940441,0.06462010316953677
MWI,NetZero,Area|Forest|Age Class|21-40,Million ha,0.5322,0.68,0.7093,0.6355,0.48459432992980134,0.3107122423420531,0.21043015475430515
MWI,NetZero,Area|Forest|Age Class|41-60,Million ha,0.061,0.1202,0.2212,0.376,0.5322,0.68,0.7093
MWI,NetZero,Area|Forest|Age Class|61+,Million ha,0.0023,0.0038,0.0084,0.0247,0.0633,0.124,0.2296
MWI,NetZero,Carbon Stock|Forest|Total,Mt C,20.368947794481237,24.416137019424173,28.295669717862484,31.932021149691675,35.24521400642026,38.23750105023759,40.9209565485493
MWI,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-2.9286174039916935,-2.9679387649581535,-2.844990645521428,-2.6666577166747394,-2.429674761600964,-2.1943438321327067,-1.9678673654285863
