Region,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
LKA,NetZero,Area|Forest|Age Class|0-20,Million ha,0.825,0.5633246139376454,0.3928492278752907,0.4622489190254069,0.4280239962378779,0.32924922787529065,0.2238894749551976
LKA,NetZero,Area|Forest|Age Class|21-40,Million ha,1.9726,2.1829,2.0113,1.5229,0.9566996911501164,0.6950243050877619,0.49820898079538367
LKA,NetZero,Area|Forest|Age Class|41-60,Million ha,0.1474,0.3521,0.8292,1.3537,1.9726,2.1829,2.0113
LKA,NetZero,Area|Forest|Age Class|61+,Million ha,0.6817,0.693,0.7226,0.7488,0.8291,1.0451,1.5518
LKA,NetZero,Carbon Stock|Forest|Total,Mt C,107.39698953318559,118.17126058047121,129.34472201197042,140.46040978933613,151.34657446130015,161.84986377734,171.83179761046765
LKA,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-6.529940984399731,-7.901132101342791,-8.19387171643275,-8.151504370068185,-7.9831874261069515,-7.702412165095893,-7.32008481096027
