Region,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
TJK,NetZero,Area|Forest|Age Class|0-20,Million ha,0.0,6.353518322925303e-06,1.588379580731326e-05,2.3825693710969897e-05,2.509639737555496e-05,2.0966610465653504e-05,1.747217538804459e-05
TJK,NetZero,Area|Forest|Age Class|21-40,Million ha,0.0,0.0,0.0,0.0,5.082814658340242e-06,1.3977740310435667e-05,2.223731413023857e-05
TJK,NetZero,Area|Forest|Age Class|41-60,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJK,NetZero,Area|Forest|Age Class|61+,Million ha,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023
TJK,NetZero,Carbon Stock|Forest|Total,Mt C,0.04704922047614773,0.048220547289566644,0.04920204678430279,0.0500544593362538,0.050819522843309255,0.05152510515499244,0.0521895247620747
TJK,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.001059829885531681,-0.0008589729965072049,-0.0007197662961398394,-0.0006251025380974069,-0.0005610465718406681,-0.0005174270285676671,-0.00048724104519366155
