Region,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
NZL,NetZero,Area|Forest|Age Class|0-20,Million ha,0.0091,0.22894111545025486,0.44928223090050967,0.5217292693839279,0.37916989626543324,0.1784328923602039,0.08921644618010195
NZL,NetZero,Area|Forest|Age Class|21-40,Million ha,0.0159,0.0145,0.0123,0.0109,0.18753289236020387,0.40737400781045874,0.5087598616872443
NZL,NetZero,Area|Forest|Age Class|41-60,Million ha,0.1139,0.0458,0.025,0.017,0.0159,0.0145,0.0123
NZL,NetZero,Area|Forest|Age Class|61+,Million ha,8.3691,8.4418,8.4675,8.4788,8.483,8.4876,8.4925
NZL,NetZero,Carbon Stock|Forest|Total,Mt C,977585977.4282871,1.6580479410068297e+52,1.276361223108242e+76,2.015390592379012e+89,3.9546647954984967e+96,4.23359446923077e+100,7.132785280460705e+102
NZL,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-716895619.1174389,-1.2159018234050083e+52,-9.359982302793775e+75,-1.4779531010778485e+89,-2.9000873689035875e+96,-3.104345935350894e+100,-5.199662846230157e+102
