Region,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
NCL,NetZero,Area|Forest|Age Class|0-20,Million ha,0.065,0.060195298345018154,0.0632905966900363,0.07235569613837566,0.05235200718653084,0.024636238676014516,0.012318119338007255
NCL,NetZero,Area|Forest|Age Class|21-40,Million ha,0.6903,0.485,0.2771,0.1398,0.0896362386760145,0.08483153702103266,0.07150267624870778
NCL,NetZero,Area|Forest|Age Class|41-60,Million ha,0.284,0.4939,0.6874,0.7568,0.6903,0.485,0.2771
NCL,NetZero,Area|Forest|Age Class|61+,Million ha,0.1354,0.1664,0.2085,0.2776,0.4194,0.6603,0.8959
NCL,NetZero,Carbon Stock|Forest|Total,Mt C,108.72364043879551,124.00580231278121,139.02309555167867,153.25385866731682,166.65084010612642,179.11762402411082,190.59063844935542
NCL,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-10.989149079378812,-11.206918707589512,-11.012681708524799,-10.43589295146798,-9.824453055127043,-9.142308206521893,-8.41354391184604
