Region,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
IRL,NetZero,Area|Forest|Age Class|0-20,Million ha,0.0419,0.04187919802537766,0.039618128725881226,0.003397326751258913,0.0015973267512589158,0.0012459148659819538,0.0008945029807049923
IRL,NetZero,Area|Forest|Age Class|21-40,Million ha,0.0023,0.0022,0.0043,0.0404,0.042283358420302126,0.04239034258578051,0.04000148714618335
IRL,NetZero,Area|Forest|Age Class|41-60,Million ha,0.0035,0.0029,0.0026,0.0023,0.0023,0.0022,0.0043
IRL,NetZero,Area|Forest|Age Class|61+,Million ha,0.0071,0.0083,0.0094,0.0103,0.0106,0.0112,0.012
IRL,NetZero,Carbon Stock|Forest|Total,Mt C,0.8263966173501748,1.0921048597460508,1.4896701488154187,1.9343468417299785,2.3429877102424084,2.6838360106857784,2.956564117410232
IRL,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.1073200731249202,-0.19485271109030905,-0.2915478786508698,-0.3260962414706772,-0.29966997024244857,-0.249955420325138,-0.20000061159793261
