Region,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
HND,NetZero,Area|Forest|Age Class|0-20,Million ha,0.4039,0.16452676175391656,0.13915352350783317,0.18988028526174971,0.1890802852617498,0.15126422820939983,0.10714549498165823
HND,NetZero,Area|Forest|Age Class|21-40,Million ha,3.3801,2.9207,2.0844,1.02,0.4543214094031332,0.21494817115704978,0.1895749329109664
HND,NetZero,Area|Forest|Age Class|41-60,Million ha,1.2159,1.8126,2.5219,3.3006,3.3801,2.9207,2.0844
HND,NetZero,Area|Forest|Age Class|61+,Million ha,0.2993,0.4644,0.6798,0.9778,1.5152,2.277,3.2017
HND,NetZero,Carbon Stock|Forest|Total,Mt C,244.9523133614398,269.58276543156484,292.905436167343,316.59272166714896,336.9912138532154,352.2507229738353,363.30839894993824
HND,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-21.952539223296945,-18.0623315180917,-17.103291872903984,-17.37067603319104,-14.95889426978206,-11.190306688454589,-8.108962382475479
