Region,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
HTI,NetZero,Area|Forest|Age Class|0-20,Million ha,0.1095,0.05374302104567192,0.020386042091343842,0.013729063137015763,0.010929063137015771,0.008743250509612614,0.006193135777642271
HTI,NetZero,Area|Forest|Age Class|21-40,Million ha,0.1539,0.1938,0.1998,0.1667,0.11241441683653754,0.056657437882209456,0.02330045892788138
HTI,NetZero,Area|Forest|Age Class|41-60,Million ha,0.0297,0.0463,0.0723,0.1072,0.1539,0.1938,0.1998
HTI,NetZero,Area|Forest|Age Class|61+,Million ha,0.0132,0.0161,0.0211,0.0296,0.0429,0.0624,0.0934
HTI,NetZero,Carbon Stock|Forest|Total,Mt C,8.552287040507832,10.265658051377683,11.780353052766218,13.035025151272109,14.034155976513404,14.81532701143319,15.422592617925957
HTI,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-1.305827594526184,-1.2564720746378908,-1.1107763343515924,-0.9200928722376531,-0.7326959385102829,-0.5728587589411769,-0.44532811142802914
