Region,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
ARG,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-155.76326081094587,-230.8219713186085,-6359.231483373997,-171579.71321356457,-1269497.368332424,-3860447.097022014,-6552255.154229504
ARM,NetZero,Area|Forest|Age Class|0-20,Million ha,0.0001,0.0008185000503447269,0.001796250125861817,0.0026943751887927255,0.002838075198861671,0.002371050166137598,0.0019758751384479994
ARM,NetZero,Area|Forest|Age Class|21-40,Million ha,0.0007,0.0005,0.0005,0.0002,0.0006748000402757815,0.0016807001107583988,0.0025147501762065438
ARM,NetZero,Area|Forest|Age Class|41-60,Million ha,0.005,0.003,0.0009,0.0009,0.0007,0.0005,0.0005
ARM,NetZero,Area|Forest|Age Class|61+,Million ha,0.2543,0.2565,0.2587,0.259,0.2593,0.2595,0.2596
ARM,NetZero,Carbon Stock|Forest|Total,Mt C,10.154050366318492,10.510761629139612,10.860076102293684,11.198574150509861,11.526620651551223,11.844564637210311,12.154187462490292
ARM,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.2658061463945638,-0.2615882594021548,-0.25616394697965283,-0.24823190202519663,-0.24056743409699863,-0.23315892281666467,-0.2270567385386523
ATF,NetZero,Area|Forest|Age Class|0-20,Million ha,0.0001,0.00010453923991335502,0.00010907847982671004,1.2709871757393969e-05,1.1802023774722972e-05,9.078479826709976e-06,6.173366282162784e-06
ATF,NetZero,Area|Forest|Age Class|21-40,Million ha,0.0,0.0,0.0,0.0001,0.00010363139193068402,0.00010817063184403903,0.00011198359337125721
ATF,NetZero,Area|Forest|Age Class|41-60,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATF,NetZero,Area|Forest|Age Class|61+,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATF,NetZero,Carbon Stock|Forest|Total,Mt C,0.0,,,,,,
ATF,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,0.0,,,,,,
ATG,NetZero,Area|Forest|Age Class|0-20,Million ha,0.0003,0.00026303627666360166,0.00032607255332720334,0.000389108829990805,0.00018910882999080499,0.00015128706399264403,0.00010716167032812279
ATG,NetZero,Area|Forest|Age Class|21-40,Million ha,0.0013,0.001,0.0008,0.0004,0.0003504290213308813,0.000313465297994483,0.0003765015746580847
ATG,NetZero,Area|Forest|Age Class|41-60,Million ha,0.0008,0.0009,0.0007,0.0011,0.0013,0.001,0.0008
ATG,NetZero,Area|Forest|Age Class|61+,Million ha,0.0029,0.0032,0.0036,0.0036,0.0037,0.0041,0.0043
ATG,NetZero,Carbon Stock|Forest|Total,Mt C,0.14769286172481547,0.15714196711619022,0.1663745266381022,0.17536202964823638,0.18402615669043412,0.19226785877575917,0.20011603040368248
ATG,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.006915039758380243,-0.006929343953674817,-0.006770543649402124,-0.0065908355407650636,-0.0063536931642783415,-0.006043914862571697,-0.005755325860477095
AUS,NetZero,Area|Forest|Age Class|0-20,Million ha,3.2936,2.9473243204297934,3.2896486408595873,3.308323414336184,2.36678134473065,1.113779456343835,0.5568897281719174
AUS,NetZero,Area|Forest|Age Class|21-40,Million ha,10.4807,10.4255,9.2176,6.5219,4.407379456343835,4.061103776773629,3.660908459640865
AUS,NetZero,Area|Forest|Age Class|41-60,Million ha,7.8789,7.4881,7.7261,8.9603,10.4807,10.4255,9.2176
AUS,NetZero,Area|Forest|Age Class|61+,Million ha,31.4538,33.6383,35.6581,37.565,39.3327,41.1264,43.3842
AUS,NetZero,Carbon Stock|Forest|Total,Mt C,4038.190055636407,4250.27510742613,4458.967993928163,4656.246185917426,4844.242536500442,5022.178724734084,5188.8789012962525
AUS,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-153.49491440380748,-155.52903797912978,-153.0414501014913,-144.67067412545967,-137.86399042754473,-130.48653803800448,-122.24679614558991
AUT,NetZero,Area|Forest|Age Class|0-20,Million ha,0.0205,0.033568140909869953,0.06035899545636323,0.0834271363662332,0.08322713636623316,0.06491716636566189,0.046607196365090586
AUT,NetZero,Area|Forest|Age Class|21-40,Million ha,0.1088,0.0851,0.0579,0.0374,0.04047451272789597,0.060200824547064574,0.08033350818425919
AUT,NetZero,Area|Forest|Age Class|41-60,Million ha,0.6787,0.3469,0.169,0.1341,0.1088,0.0851,0.0579
AUT,NetZero,Area|Forest|Age Class|61+,Million ha,2.0473,2.4147,2.6263,2.6836,2.726,2.7616,2.7953
AUT,NetZero,Carbon Stock|Forest|Total,Mt C,263.69886644816887,27903511352786.855,1.7306882862276438e+19,8.996493085845135e+21,1.68813631037816e+23,6.67441272168592e+23,1.2715118500652976e+24
AUT,NetZero,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-16.027138362616814,-20462574991850.312,-1.2691693636427729e+19,-6.584736548854096e+21,-1.1719923449811195e+23,-3.65660270162569e+23,-4.429850904575841e+23
AZE,NetZero,Area|Forest|Age Class|0-20,Million ha,0.0,0.002210748136450922,0.005526870341127305,0.008290305511690958,0.008732455138981143,0.0072954688502880425,0.006079557375240035
AZE,NetZero,Area|Forest|Age Class|21-40,Million ha,0.0066,0.002,0.0005,0.0002,0.0017685985091607376,0.004863645900192028,0.007737618477578227
AZE,NetZero,Area|Forest|Age Class|41-60,Million ha,0.0848,0.0492,0.0268,0.0149,0.0066,0.002,0.0005
AZE,NetZero,Area|Forest|Age Class|61+,Million ha,0.7089,0.7491,0.773,0.7852,0.7937,0.7983,0.7998
