Region,Scenario,Variable,Unit,2017,2018,2019,2020,2021,2022,2023,2024
EGY,Historical,Area|Forest|Age Class|0-20,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGY,Historical,Area|Forest|Age Class|21-40,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGY,Historical,Area|Forest|Age Class|41-60,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGY,Historical,Area|Forest|Age Class|61+,Million ha,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
EGY,Historical,Carbon Stock|Forest|Total,Mt C,0.12222179282718167,0.12285112736398597,0.12347088,0.1240811373655709,0.12468198772548816,0.12527352085545948,0.12585582792259215,0.1264290013698264
EGY,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.00234300478837073,-0.00230755996828245,-0.002272426332051459,-0.0022376103404266184,-0.0022031179863632963,-0.0021689548098948277,-0.00213512591281977,-0.0021016359731922856
