Region,Scenario,Variable,Unit,2017,2018,2019,2020,2021,2022,2023,2024
ARM,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.26752921536692453,-0.2657989535279134,-0.26407590253487356,-0.2623610965011374,-0.26065548248590586,-0.2589599235983867,-0.25727520232408274,-0.255602024033843
ATF,Historical,Area|Forest|Age Class|0-20,Million ha,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
ATF,Historical,Area|Forest|Age Class|21-40,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATF,Historical,Area|Forest|Age Class|41-60,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATF,Historical,Area|Forest|Age Class|61+,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATF,Historical,Carbon Stock|Forest|Total,Mt C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATF,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATG,Historical,Area|Forest|Age Class|0-20,Million ha,0.0003,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002,0.0002
ATG,Historical,Area|Forest|Age Class|21-40,Million ha,0.0013,0.0013,0.0013,0.0013,0.001,0.001,0.001,0.001
ATG,Historical,Area|Forest|Age Class|41-60,Million ha,0.0008,0.0008,0.0008,0.0008,0.0009,0.0009,0.0009,0.0009
ATG,Historical,Area|Forest|Age Class|61+,Million ha,0.0029,0.0029,0.0029,0.0029,0.0032,0.0032,0.0032,0.0032
ATG,Historical,Carbon Stock|Forest|Total,Mt C,0.14206413541562035,0.1439508691159575,0.14582736999999998,0.14769286172481547,0.14954660508124415,0.15138789765468225,0.15321607343639035,0.15503050240923363
ATG,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.006952560192078275,-0.006918023567902887,-0.0068805032414890974,-0.0068401363243234346,-0.006797058973571838,-0.006751406102606355,-0.006703311199596375,-0.006652906233758711
AUS,Historical,Area|Forest|Age Class|0-20,Million ha,4.4919,4.0256,3.6081,3.2936,2.1663,1.956,1.8012,1.6771
AUS,Historical,Area|Forest|Age Class|21-40,Million ha,9.6205,9.9799,10.2854,10.4807,10.3115,10.4018,10.4412,10.4426
AUS,Historical,Area|Forest|Age Class|41-60,Million ha,8.1424,8.0458,7.9573,7.8789,7.6275,7.5808,7.5376,7.5033
AUS,Historical,Area|Forest|Age Class|61+,Million ha,30.8522,31.0557,31.2562,31.4538,33.0017,33.1684,33.327,33.484
AUS,Historical,Carbon Stock|Forest|Total,Mt C,3913.8764335938195,3955.7615802830346,3997.2068304800014,4038.190055636407,4078.6900640760714,4118.686725675498,4158.161082024316,4197.095441332973
AUS,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-155.1077581607448,-153.57887119378893,-151.9659173888781,-150.27182557348775,-148.50003094543564,-146.65442586456294,-144.73930661233345,-142.75931746507527
AUT,Historical,Area|Forest|Age Class|0-20,Million ha,0.0205,0.0205,0.0205,0.0205,0.0086,0.0086,0.0086,0.0086
AUT,Historical,Area|Forest|Age Class|21-40,Million ha,0.1118,0.1108,0.1095,0.1088,0.0864,0.086,0.0857,0.0852
AUT,Historical,Area|Forest|Age Class|41-60,Million ha,0.8526,0.8017,0.7442,0.6787,0.6083,0.5331,0.4679,0.4055
AUT,Historical,Area|Forest|Age Class|61+,Million ha,1.8704,1.9223,1.9811,2.0473,2.152,2.2276,2.2931,2.356
AUT,Historical,Carbon Stock|Forest|Total,Mt C,245.7425649522636,247.5846952095365,249.39844201,263.69886644816887,23205.623644698873,14825038.917645521,3856118627.0168686,458984815494.31915
AUT,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-6.997384469419416,-6.754477610000682,-6.6504049350328005,-52.43488960661921,-84120.39085358591,-54273388.74466968,-14084743156.363817,-1668805221846.7751
AZE,Historical,Area|Forest|Age Class|0-20,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,Historical,Area|Forest|Age Class|21-40,Million ha,0.01,0.0082,0.0073,0.0066,0.0046,0.0039,0.0031,0.0024
AZE,Historical,Area|Forest|Age Class|41-60,Million ha,0.0937,0.0913,0.0884,0.0848,0.0715,0.0655,0.0591,0.053
AZE,Historical,Area|Forest|Age Class|61+,Million ha,0.6966,0.7008,0.7046,0.7089,0.7242,0.7309,0.7381,0.7449
AZE,Historical,Carbon Stock|Forest|Total,Mt C,29.97654069961809,30.18165015428586,30.381873479999996,30.578252730147003,30.772269519732383,30.96583885030241,31.161180893057704,31.36058162955449
AZE,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.7725013431692638,-0.7520680004484911,-0.7341521942851585,-0.7200572505390271,-0.7113948951463922,-0.7097542120901039,-0.7162541567694067,-0.7311360338215422
BDI,Historical,Area|Forest|Age Class|0-20,Million ha,0.02,0.02,0.0198,0.0198,0.0099,0.0099,0.0099,0.0099
BDI,Historical,Area|Forest|Age Class|21-40,Million ha,0.0149,0.0148,0.015,0.015,0.0237,0.0236,0.0235,0.0235
BDI,Historical,Area|Forest|Age Class|41-60,Million ha,0.0021,0.0022,0.0022,0.0022,0.0034,0.0035,0.0034,0.0033
BDI,Historical,Area|Forest|Age Class|61+,Million ha,0.0361,0.0361,0.0361,0.0361,0.0361,0.0361,0.0363,0.0364
BDI,Historical,Carbon Stock|Forest|Total,Mt C,2.878787796224797,2.9069186281292048,2.9353441099999995,2.964017561999684,2.992892430922072,3.021922648572249,3.0510629578080817,3.0802692036279717
BDI,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.10189579519440498,-0.10314638364949442,-0.10422676685958072,-0.10513599066550908,-0.10587451938209054,-0.10644413138398108,-0.10684780053138723,-0.10708956800626357
BEL,Historical,Area|Forest|Age Class|0-20,Million ha,0.0038,0.0038,0.0038,0.0038,0.0016,0.0015,0.0014,0.0014
BEL,Historical,Area|Forest|Age Class|21-40,Million ha,0.0228,0.0221,0.022,0.022,0.0187,0.0188,0.0189,0.0189
BEL,Historical,Area|Forest|Age Class|41-60,Million ha,0.1287,0.1125,0.0981,0.0847,0.0734,0.0654,0.0573,0.051
BEL,Historical,Area|Forest|Age Class|61+,Million ha,0.3402,0.3571,0.3716,0.385,0.4018,0.4098,0.4179,0.4242
BEL,Historical,Carbon Stock|Forest|Total,Mt C,39.47603556558895,39.83329405168711,40.1785187,40.51212999428977,40.83453687622147,41.14613484466143,41.44730397891359,41.73840704267592
BEL,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-1.355649657075105,-1.3099477823599224,-1.265823710480582,-1.2232414123958386,-1.1821585670828938,-1.1425258842798602,-1.1042868255912381,-1.0673779004618709
BEN,Historical,Area|Forest|Age Class|0-20,Million ha,0.3287,0.3233,0.3177,0.3122,0.2392,0.2299,0.2204,0.2108
BEN,Historical,Area|Forest|Age Class|21-40,Million ha,0.1204,0.1255,0.1308,0.1354,0.2051,0.2135,0.2213,0.2289
BEN,Historical,Area|Forest|Age Class|41-60,Million ha,0.0046,0.0049,0.0051,0.006,0.0093,0.0101,0.0117,0.0134
BEN,Historical,Area|Forest|Age Class|61+,Million ha,0.0565,0.0565,0.0566,0.0566,0.0566,0.0567,0.0568,0.0571
BEN,Historical,Carbon Stock|Forest|Total,Mt C,6.465678496260587,6.736482680531308,7.01540706,7.301848366064256,7.595173312953554,7.894725844553346,8.19983417698555,8.509817518528314
BEN,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.9610995072720554,-0.9929486756593118,-1.022722724718537,-1.0502847889022706,-1.0755248052607584,-1.0983592825325705,-1.1187305522514184,-1.1366055856567971
BES,Historical,Area|Forest|Age Class|0-20,Million ha,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
BES,Historical,Area|Forest|Age Class|21-40,Million ha,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001
BES,Historical,Area|Forest|Age Class|41-60,Million ha,0.0008,0.0006,0.0006,0.0006,0.0003,0.0003,0.0003,0.0003
BES,Historical,Area|Forest|Age Class|61+,Million ha,0.0011,0.0013,0.0013,0.0013,0.0017,0.0017,0.0017,0.0017
BES,Historical,Carbon Stock|Forest|Total,Mt C,0.018886009999999998,0.018886009999999998,0.018886009999999998,0.018886009999999998,0.018886009999999998,0.018886009999999998,0.018886009999999998,0.018886009999999998
BES,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFA,Historical,Area|Forest|Age Class|0-20,Million ha,0.0051,0.0051,0.0051,0.0051,0.0041,0.0041,0.0041,0.0041
BFA,Historical,Area|Forest|Age Class|21-40,Million ha,0.0013,0.0013,0.0013,0.0012,0.0018,0.0018,0.0018,0.0018
BFA,Historical,Area|Forest|Age Class|41-60,Million ha,0.0002,0.0002,0.0002,0.0003,0.0007,0.0007,0.0007,0.0007
BFA,Historical,Area|Forest|Age Class|61+,Million ha,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
BFA,Historical,Carbon Stock|Forest|Total,Mt C,0.05233415900176293,0.057480653640176134,0.062457359999999996,0.06719590314547225,0.07165671724643857,0.07581442083324635,0.0796584494045636,0.08319326964117674
