Region,Scenario,Variable,Unit,2017,2018,2019,2020,2021,2022,2023,2024
CHE,Historical,Area|Forest|Age Class|0-20,Million ha,0.0145,0.0145,0.0145,0.0145,0.0076,0.0076,0.0076,0.0076
CHE,Historical,Area|Forest|Age Class|21-40,Million ha,0.0512,0.0509,0.0508,0.0508,0.0437,0.0434,0.0434,0.0432
CHE,Historical,Area|Forest|Age Class|41-60,Million ha,0.0843,0.0795,0.0753,0.0722,0.07,0.0684,0.0671,0.0651
CHE,Historical,Area|Forest|Age Class|61+,Million ha,0.4939,0.499,0.5033,0.5064,0.5226,0.5245,0.5258,0.528
CHE,Historical,Carbon Stock|Forest|Total,Mt C,49.964130374864126,50.40003250737714,50.82730588,51.245902852362306,51.65577265861018,52.05686321724513,52.4491229970091,52.83250288793386
CHE,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-1.629789624543638,-1.5983078192143858,-1.566669032950474,-1.5348555653284657,-1.5028559562422121,-1.470665381661476,-1.43828585913455,-1.4057262667241375
