Region,Scenario,Variable,Unit,2017,2018,2019,2020,2021,2022,2023,2024
TCD,Historical,Area|Forest|Age Class|0-20,Million ha,0.4608,0.4603,0.4595,0.4593,0.3187,0.3183,0.3182,0.3182
TCD,Historical,Area|Forest|Age Class|21-40,Million ha,0.1099,0.1087,0.1073,0.1057,0.2443,0.2431,0.2419,0.2409
TCD,Historical,Area|Forest|Age Class|41-60,Million ha,0.0024,0.0041,0.0063,0.0081,0.01,0.0116,0.0129,0.0139
TCD,Historical,Area|Forest|Age Class|61+,Million ha,0.0005,0.0005,0.0005,0.0005,0.0006,0.0006,0.0006,0.0006
TCD,Historical,Carbon Stock|Forest|Total,Mt C,8.237489200889875,8.962228736953378,9.697373229999998,10.437817890099367,11.17868361631903,11.915414047376226,12.643848134589495,13.360269120705475
TCD,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-2.6001243781506114,-2.657378298899509,-2.695529807837608,-2.7149637536976865,-2.7165076628054323,-2.7013449138763814,-2.6709249864486546,-2.6268769490919244
