Region,Scenario,Variable,Unit,2017,2018,2019,2020,2021,2022,2023,2024
PER,Historical,Area|Forest|Age Class|0-20,Million ha,0.0663,0.0633,0.0598,0.0566,0.0326,0.0293,0.0258,0.023
PER,Historical,Area|Forest|Age Class|21-40,Million ha,0.427,0.4211,0.4153,0.4078,0.3298,0.3239,0.3171,0.3106
PER,Historical,Area|Forest|Age Class|41-60,Million ha,0.4976,0.5003,0.5013,0.5049,0.5267,0.5295,0.5323,0.534
PER,Historical,Area|Forest|Age Class|61+,Million ha,82.322,82.3282,82.3365,82.3436,82.4238,82.4302,82.4377,82.4453
PER,Historical,Carbon Stock|Forest|Total,Mt C,10836.669145697355,10846.398983753028,10855.949941039999,10865.324816580083,10874.526381733072,10883.557381080413,10892.420533162027,10901.118531050815
PER,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-36.34233722160267,-35.67607287080136,-35.02017671889189,-34.37454364697744,-33.73907222762682,-33.113664273580675,-32.49822429925249,-31.892658925557647
