Region,Scenario,Variable,Unit,2017,2018,2019,2020,2021,2022,2023,2024
ZWE,Historical,Area|Forest|Age Class|0-20,Million ha,0.8691,0.8634,0.8578,0.8542,0.535,0.5339,0.5337,0.5335
ZWE,Historical,Area|Forest|Age Class|21-40,Million ha,0.6212,0.6247,0.6278,0.6275,0.9082,0.9066,0.9016,0.8966
ZWE,Historical,Area|Forest|Age Class|41-60,Million ha,0.0541,0.056,0.0585,0.0623,0.0967,0.0993,0.1043,0.1093
ZWE,Historical,Area|Forest|Age Class|61+,Million ha,0.0371,0.0374,0.0374,0.0375,0.0416,0.0417,0.0419,0.0421
ZWE,Historical,Carbon Stock|Forest|Total,Mt C,26.356658194063993,27.630174393834984,28.911472370000002,30.197156770539983,31.48392742077357,32.768605699159956,34.048157024700295,35.31970943624188
ZWE,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-4.628338083545339,-4.669559399160303,-4.698092579271731,-4.714176135313265,-4.718159050856478,-4.710487020750087,-4.69168819364791,-4.6623588423191435
