Region,Scenario,Variable,Unit,2017,2018,2019,2020,2021,2022,2023,2024
GRD,Historical,Area|Forest|Age Class|0-20,Million ha,0.0004,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003
GRD,Historical,Area|Forest|Age Class|21-40,Million ha,0.0089,0.0086,0.0081,0.0076,0.0069,0.0061,0.0053,0.0043
GRD,Historical,Area|Forest|Age Class|41-60,Million ha,0.0018,0.0021,0.0026,0.0031,0.0036,0.0044,0.0052,0.0062
GRD,Historical,Area|Forest|Age Class|61+,Million ha,0.0019,0.0019,0.0019,0.0019,0.0022,0.0022,0.0022,0.0022
GRD,Historical,Carbon Stock|Forest|Total,Mt C,0.6585285977634356,0.6708338924335391,0.6848200799999999,0.6976193038554359,0.7089440331908069,0.7194318360422776,0.7294414241877029,0.7390704573540356
GRD,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.03925085035122307,-0.04511941379037927,-0.051282687743689825,-0.04693048746993189,-0.041524007563026946,-0.038455277122059095,-0.03670182319989275,-0.035306454943220225
