Region,Scenario,Variable,Unit,2017,2018,2019,2020,2021,2022,2023,2024
GMB,Historical,Area|Forest|Age Class|0-20,Million ha,0.0237,0.0236,0.0235,0.0232,0.0099,0.0098,0.0098,0.0098
GMB,Historical,Area|Forest|Age Class|21-40,Million ha,0.0103,0.0104,0.0105,0.0108,0.0233,0.0234,0.0234,0.0234
GMB,Historical,Area|Forest|Age Class|41-60,Million ha,0.0012,0.0012,0.0012,0.0012,0.002,0.002,0.002,0.002
GMB,Historical,Area|Forest|Age Class|61+,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMB,Historical,Carbon Stock|Forest|Total,Mt C,0.39043176384960243,0.41478725473720673,0.43880563,0.46236490076044373,0.48535966213329945,0.5077016660888177,0.5293196586634321,0.5501586102012326
GMB,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.09003648641518794,-0.08930346658788244,-0.0880673759635753,-0.08638399278829367,-0.08431412503380431,-0.08192068117023367,-0.07926597277358607,-0.07640948897193503
