Region,Scenario,Variable,Unit,2017,2018,2019,2020,2021,2022,2023,2024
POL,Historical,Area|Forest|Age Class|0-20,Million ha,0.6811,0.6809,0.6809,0.6809,0.4392,0.4392,0.4392,0.4392
POL,Historical,Area|Forest|Age Class|21-40,Million ha,1.1798,1.1792,1.1783,1.1782,1.0782,1.0781,1.0779,1.0777
POL,Historical,Area|Forest|Age Class|41-60,Million ha,3.229,3.0568,2.8886,2.7243,2.3553,2.1966,2.0497,1.9271
POL,Historical,Area|Forest|Age Class|61+,Million ha,4.603,4.776,4.9451,5.1095,5.8202,5.979,6.1261,6.2489
POL,Historical,Carbon Stock|Forest|Total,Mt C,681.4053665434161,690.8419439142119,700.1980950699999,709.4712331763633,718.658918089812,727.758855752959,736.7688972319336,745.6870374135993
POL,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-34.88565604058999,-34.60078369291799,-34.305887571222605,-34.001506389999044,-33.688178015978636,-33.36643809820562,-33.036818756240145,-32.69984733277446
