Region,Scenario,Variable,Unit,2017,2018,2019,2020,2021,2022,2023,2024
MSR,Historical,Area|Forest|Age Class|0-20,Million ha,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
MSR,Historical,Area|Forest|Age Class|21-40,Million ha,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
MSR,Historical,Area|Forest|Age Class|41-60,Million ha,0.001,0.0009,0.0009,0.0008,0.0008,0.0008,0.0008,0.0008
MSR,Historical,Area|Forest|Age Class|61+,Million ha,0.0015,0.0016,0.0016,0.0017,0.0017,0.0017,0.0017,0.0017
MSR,Historical,Carbon Stock|Forest|Total,Mt C,0.08023944177498434,0.08136082863745098,0.08243894,0.08347435373489823,0.08446785373655122,0.08542039155393946,0.08633305137193274,0.08720701857625221
MSR,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.00427164074218693,-0.0041117518290443526,-0.003953074996013092,-0.0037965170279601564,-0.0036428333393943024,-0.0034926386637568934,-0.0033464193326420283,-0.003204546415838047
