Region,Scenario,Variable,Unit,2017,2018,2019,2020,2021,2022,2023,2024
HRV,Historical,Area|Forest|Age Class|0-20,Million ha,0.0056,0.0056,0.0056,0.0056,0.0045,0.0045,0.0045,0.0045
HRV,Historical,Area|Forest|Age Class|21-40,Million ha,0.0479,0.0456,0.0439,0.0431,0.0276,0.0264,0.026,0.0258
HRV,Historical,Area|Forest|Age Class|41-60,Million ha,0.496,0.4364,0.3848,0.3374,0.2871,0.2593,0.2371,0.2168
HRV,Historical,Area|Forest|Age Class|61+,Million ha,2.2075,2.2694,2.3227,2.3709,2.4378,2.4668,2.4894,2.5099
HRV,Historical,Carbon Stock|Forest|Total,Mt C,134.74142706095697,136.630204500563,138.47373402000002,140.27277442244232,142.02824972169245,143.74125373710694,145.41305468170478,147.04509908008433
HRV,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-7.093617633434471,-6.925517278555446,-6.759608237935765,-6.596481475621772,-6.436742763917114,-6.281014723186492,-6.129936796858724,-5.984162794058344
