Region,Scenario,Variable,Unit,2017,2018,2019,2020,2021,2022,2023,2024
IRN,Historical,Area|Forest|Age Class|0-20,Million ha,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
IRN,Historical,Area|Forest|Age Class|21-40,Million ha,0.0276,0.0215,0.0181,0.0153,0.012,0.0112,0.0102,0.0096
IRN,Historical,Area|Forest|Age Class|41-60,Million ha,0.4343,0.4293,0.4209,0.4105,0.3125,0.2958,0.2794,0.2622
IRN,Historical,Area|Forest|Age Class|61+,Million ha,1.5319,1.543,1.5549,1.5681,1.6694,1.6869,1.7043,1.7221
IRN,Historical,Carbon Stock|Forest|Total,Mt C,60.378960357742095,60.68964518098963,60.97680407000001,61.2442194842318,61.495664328038515,61.73426138964093,61.962037669835894,62.17987720272772
IRN,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-1.2376992183841509,-1.1391776852409592,-1.0529159263713859,-0.9805231855165696,-0.921964427291293,-0.874855892542179,-0.8351796940482098,-0.7987449539366835
