Region,Scenario,Variable,Unit,2017,2018,2019,2020,2021,2022,2023,2024
VUT,Historical,Area|Forest|Age Class|0-20,Million ha,0.042,0.0352,0.0307,0.0259,0.0157,0.0145,0.0129,0.0102
VUT,Historical,Area|Forest|Age Class|21-40,Million ha,0.3474,0.3542,0.3584,0.3624,0.2951,0.2924,0.2892,0.2841
VUT,Historical,Area|Forest|Age Class|41-60,Million ha,0.1673,0.1673,0.1676,0.1684,0.2306,0.2345,0.2393,0.2471
VUT,Historical,Area|Forest|Age Class|61+,Million ha,0.468,0.468,0.468,0.468,0.4833,0.4833,0.4833,0.4833
VUT,Historical,Carbon Stock|Forest|Total,Mt C,107.06590443277673,109.08333013346851,111.06560411999999,113.00920128590873,114.91108245800616,116.76850795206278,118.57887151668628,120.33957867671054
VUT,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-7.510762361587102,-7.397227569203172,-7.268337950615432,-7.126522941665385,-6.9735642976905865,-6.810560144874249,-6.637999736952835,-6.455926253422314
