Region,Scenario,Variable,Unit,2017,2018,2019,2020,2021,2022,2023,2024
VCT,Historical,Area|Forest|Age Class|0-20,Million ha,0.0004,0.0004,0.0004,0.0004,0.0,0.0,0.0,0.0
VCT,Historical,Area|Forest|Age Class|21-40,Million ha,0.0133,0.0133,0.0132,0.0127,0.0116,0.0102,0.0089,0.0067
VCT,Historical,Area|Forest|Age Class|41-60,Million ha,0.003,0.003,0.0031,0.0036,0.0049,0.0063,0.0076,0.0098
VCT,Historical,Area|Forest|Age Class|61+,Million ha,0.0039,0.0039,0.0039,0.0039,0.0041,0.0041,0.0041,0.0041
VCT,Historical,Carbon Stock|Forest|Total,Mt C,1.3153198709281022,1.3611297658612111,1.40593027,1.4497075649452082,1.492470785771003,1.5342492516770851,1.5750898379458174,1.6150545565655292
VCT,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.17152558418080024,-0.16796961475473277,-0.16426851517555924,-0.1605167481324301,-0.15679847636124702,-0.15318770832230158,-0.14974881631868478,-0.1465373016056101
