Region,Scenario,Variable,Unit,2017,2018,2019,2020,2021,2022,2023,2024
CAN,Historical,Area|Forest|Age Class|0-20,Million ha,0.7488,0.7488,0.7488,0.7488,0.6995,0.6995,0.6995,0.6995
CAN,Historical,Area|Forest|Age Class|21-40,Million ha,0.5159,0.477,0.447,0.4242,0.282,0.2725,0.2653,0.2592
CAN,Historical,Area|Forest|Age Class|41-60,Million ha,13.0382,11.9983,11.0754,10.2662,7.1763,6.5392,5.9828,5.4691
CAN,Historical,Area|Forest|Age Class|61+,Million ha,434.462,435.5408,436.4937,437.3257,440.6071,441.2537,441.8173,442.3371
CAN,Historical,Carbon Stock|Forest|Total,Mt C,18585.64887703634,18681.421198827135,18777.854821060002,19106.369078346102,205801.16471107348,75648711.3516653,14457832166.638954,1426883057568.233
CAN,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-355.87673090792543,-351.16517989958203,-353.58994818718077,-1204.5522767157017,-684547.5839866671,-276624004.01883215,-52734672669.38673,-5178892493139.178
