Region,Scenario,Variable,Unit,2017,2018,2019,2020,2021,2022,2023,2024
CHL,Historical,Area|Forest|Age Class|0-20,Million ha,0.0337,0.0337,0.0337,0.0337,0.0274,0.0274,0.0274,0.0274
CHL,Historical,Area|Forest|Age Class|21-40,Million ha,0.0581,0.0581,0.0581,0.0581,0.0454,0.0454,0.0454,0.0454
CHL,Historical,Area|Forest|Age Class|41-60,Million ha,0.1226,0.122,0.1218,0.1216,0.104,0.104,0.104,0.104
CHL,Historical,Area|Forest|Age Class|61+,Million ha,11.4922,11.4928,11.493,11.4932,11.5298,11.5298,11.5298,11.5298
CHL,Historical,Carbon Stock|Forest|Total,Mt C,1487.7677503436194,1492.9550209158585,1498.2362823699998,1503.8965204082515,1511.125339910434,1525.8500959113424,1578.8905971049905,1824.9691841961749
CHL,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-19.019641879880584,-19.019992098210345,-19.36462533185128,-20.7542061402562,-26.50567150800225,-53.9907720033309,-194.48183771004338,-902.2881526676758
