Region,Scenario,Variable,Unit,2017,2018,2019,2020,2021,2022,2023,2024
SGP,Historical,Area|Forest|Age Class|0-20,Million ha,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001
SGP,Historical,Area|Forest|Age Class|21-40,Million ha,0.0004,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0005
SGP,Historical,Area|Forest|Age Class|41-60,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGP,Historical,Area|Forest|Age Class|61+,Million ha,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
SGP,Historical,Carbon Stock|Forest|Total,Mt C,0.19495176923918986,0.19589963957032672,0.19684398999999994,0.19778300417552686,0.19871239673719737,0.19962603083617833,0.2005167956352926,0.20137750261576287
SGP,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.0034912012321513157,-0.0034755245475018106,-0.003462618242135155,-0.003443051976932019,-0.003407772726125228,-0.0033499916962635157,-0.003266137596752298,-0.0031559255950576828
