Reporting_Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
Middle East & North Africa,Area|Forest|Age Class|61+,Million ha,12.6572,13.5196,14.093900000000001,14.4355,14.6036,14.6681,14.7061
Middle East & North Africa,Carbon Stock|Forest|Total,Mt C,10796108.558302602,5.365599798454506e+27,inf,2.5141152095049645e+32,inf,7.635142051987242e+20,1.3292320902624534e+21
Middle East & North Africa,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-7916807.749705685,-3.934773185533304e+27,-inf,inf,-inf,inf,-4.14859782380068e+20
Oceania,Area|Forest|Age Class|0-20,Million ha,3.9089,1.7637,0.5572,0.0721,0.0,0.0,0.0
Oceania,Area|Forest|Age Class|21-40,Million ha,14.2934,13.6769,11.648499999999999,8.0702,3.9089,1.7637,0.5572
Oceania,Area|Forest|Age Class|41-60,Million ha,11.5494,11.0775,11.4,12.6549,14.2934,13.6769,11.648499999999999
Oceania,Area|Forest|Age Class|61+,Million ha,84.6846,87.9182,90.83059999999999,93.63909999999998,96.23400000000001,98.9957,102.2306
Oceania,Carbon Stock|Forest|Total,Mt C,977596517.2361543,1.6962035302901326e+28,9.329671325792552e+21,9.990398559383827e+25,1.684954988123166e+28,2.8687412413548043e+29,1.3760461354031451e+30
Oceania,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-716895880.0746309,-1.2438825888794306e+28,1.2438819047035331e+28,-7.325608100984249e+25,-1.228307365680107e+28,-1.980180211197824e+29,-7.987261415962875e+29
ROW,Area|Forest|Age Class|0-20,Million ha,8.3474,4.243,1.1695,0.0093,0.0,0.0,0.0
ROW,Area|Forest|Age Class|21-40,Million ha,10.7432,12.919,13.451699999999999,11.698,8.3474,4.243,1.1695
ROW,Area|Forest|Age Class|41-60,Million ha,7.710500000000001,7.7089,8.3234,9.2937,10.7432,12.919,13.451699999999999
ROW,Area|Forest|Age Class|61+,Million ha,28.2742,30.2044,32.1307,34.0743,35.984700000000004,37.9133,40.4541
ROW,Carbon Stock|Forest|Total,Mt C,2033.0151356376953,2208.139064522461,2372.037103444336,2632.4294618398435,3327.7754120351565,4958.510064865234,7794.324888598632
ROW,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-145.41050420746686,-128.42421451549475,-120.19189520937499,-190.95439615670568,-509.9203634765626,-1195.8720787420575,-2079.5975374044924
Republic of Korea,Area|Forest|Age Class|0-20,Million ha,2.7705,1.3271,0.2339,0.0,0.0,0.0,0.0
Republic of Korea,Area|Forest|Age Class|21-40,Million ha,3.0511,4.2782,4.9611,4.3508,2.7705,1.3271,0.2339
Republic of Korea,Area|Forest|Age Class|41-60,Million ha,0.2196,0.4273,0.8114,1.5875,3.0511,4.2782,4.9611
Republic of Korea,Area|Forest|Age Class|61+,Million ha,0.0056,0.0142,0.0404,0.1085,0.2252,0.4415,0.8518
Republic of Korea,Carbon Stock|Forest|Total,Mt C,276.514112,321.656992,358.36352,386.923008,408.488672,424.457472,436.146944
Republic of Korea,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-38.18230279490784,-33.10477866666666,-26.91812053333333,-20.943624533333324,-15.814820266666686,-11.710453333333325,-8.572279466666682
