Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
CIV,Area|Forest|Age Class|0-20,Million ha,1.6917,0.8837,0.2298,0.0101,0.0,0.0,0.0
CIV,Area|Forest|Age Class|21-40,Million ha,1.9562,2.5128,2.7572,2.4247,1.6917,0.8837,0.2298
CIV,Area|Forest|Age Class|41-60,Million ha,0.2535,0.4943,0.864,1.3632,1.9562,2.5128,2.7572
CIV,Area|Forest|Age Class|61+,Million ha,3.4808,3.4914,3.5312,3.5842,3.7343,3.9857,4.3952
CIV,Carbon Stock|Forest|Total,Mt C,376.76112,408.02064,437.384352,462.593632,482.926592,498.696928,510.654112
CIV,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-21.822835026203876,-22.923648000000007,-21.533388799999972,-18.486805333333358,-14.910837333333342,-11.564913066666657,-8.768601599999988
