Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
ATG,Area|Forest|Age Class|41-60,Million ha,0.0008,0.0009,0.0007,0.0011,0.0013,0.001,0.0008
ATG,Area|Forest|Age Class|61+,Million ha,0.0029,0.0032,0.0036,0.0036,0.0037,0.0041,0.0043
ATG,Carbon Stock|Forest|Total,Mt C,0.147692875,0.15683059375,0.165597546875,0.1739365625,0.181811203125,0.189204421875,0.19611721875
ATG,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.006915049493515568,-0.006700993749999997,-0.006429098958333336,-0.006115278125000001,-0.005774736458333322,-0.00542169375000001,-0.005069384374999991
AUS,Area|Forest|Age Class|0-20,Million ha,3.2936,1.5551,0.5052,0.0598,0.0,0.0,0.0
AUS,Area|Forest|Age Class|21-40,Million ha,10.4807,10.4255,9.2176,6.5219,3.2936,1.5551,0.5052
AUS,Area|Forest|Age Class|41-60,Million ha,7.8789,7.4881,7.7261,8.9603,10.4807,10.4255,9.2176
AUS,Area|Forest|Age Class|61+,Million ha,31.4538,33.6383,35.6581,37.565,39.3327,41.1264,43.3842
AUS,Carbon Stock|Forest|Total,Mt C,4038.189568,4235.474176,4418.5472,4586.103296,4737.7408,4873.827328,4995.305472
AUS,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-153.49455680377542,-144.67537919999995,-134.2535509333335,-122.87447040000018,-111.20083626666619,-99.79678720000052,-89.08397226666645
AUT,Area|Forest|Age Class|0-20,Million ha,0.0205,0.0086,0.0021,0.0002,0.0,0.0,0.0
AUT,Area|Forest|Age Class|21-40,Million ha,0.1088,0.0851,0.0579,0.0374,0.0205,0.0086,0.0021
AUT,Area|Forest|Age Class|41-60,Million ha,0.6787,0.3469,0.169,0.1341,0.1088,0.0851,0.0579
AUT,Area|Forest|Age Class|61+,Million ha,2.0473,2.4147,2.6263,2.6836,2.726,2.7616,2.7953
AUT,Carbon Stock|Forest|Total,Mt C,263.698864,27903513841838.85,1.7306882863906892e+19,8.996492432439217e+21,1.6881362698288362e+23,6.67441295917229e+23,1.2715119092960786e+24
AUT,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-16.027136567292985,-20462576817155.11,-1.269169363762157e+19,-6.584736069688561e+21,-1.1719923200365922e+23,-3.656602905518532e+23,-4.429851164778231e+23
AZE,Area|Forest|Age Class|0-20,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,Area|Forest|Age Class|21-40,Million ha,0.0066,0.002,0.0005,0.0002,0.0,0.0,0.0
AZE,Area|Forest|Age Class|41-60,Million ha,0.0848,0.0492,0.0268,0.0149,0.0066,0.002,0.0005
AZE,Area|Forest|Age Class|61+,Million ha,0.7089,0.7491,0.773,0.7852,0.7937,0.7983,0.7998
AZE,Carbon Stock|Forest|Total,Mt C,30.578252,31.566096,32.712632,33.953456,35.065076,35.956104,36.652904
AZE,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.7546727936467363,-0.7244189333333353,-0.8407930666666648,-0.9099376000000025,-0.8151879999999962,-0.6534205333333375,-0.5109866666666638
BDI,Area|Forest|Age Class|0-20,Million ha,0.0198,0.0099,0.0045,0.0001,0.0,0.0,0.0
BDI,Area|Forest|Age Class|21-40,Million ha,0.015,0.0233,0.026,0.0264,0.0198,0.0099,0.0045
BDI,Area|Forest|Age Class|41-60,Million ha,0.0022,0.0035,0.0055,0.0088,0.015,0.0233,0.026
BDI,Area|Forest|Age Class|61+,Million ha,0.0361,0.0364,0.0371,0.0378,0.0383,0.0399,0.0426
BDI,Carbon Stock|Forest|Total,Mt C,2.9640175,3.1094985,3.254614,3.39495175,3.5274015,3.650088,3.7621315
BDI,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.10297643372717166,-0.10668606666666647,-0.10641803333333347,-0.10291435000000002,-0.09712981666666645,-0.08997010000000026,-0.0821652333333333
BEL,Area|Forest|Age Class|0-20,Million ha,0.0038,0.0014,0.0005,0.0,0.0,0.0,0.0
BEL,Area|Forest|Age Class|21-40,Million ha,0.022,0.0188,0.0123,0.0077,0.0038,0.0014,0.0005
BEL,Area|Forest|Age Class|41-60,Million ha,0.0847,0.0459,0.0335,0.0273,0.022,0.0188,0.0123
BEL,Area|Forest|Age Class|61+,Million ha,0.385,0.4294,0.4492,0.4605,0.4697,0.4753,0.4827
BEL,Carbon Stock|Forest|Total,Mt C,40.512128,42.019784,43.291456,44.36024,45.250248,45.98262,46.579096
BEL,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-1.3115230265050466,-1.1056144000000032,-0.9325594666666632,-0.7837749333333339,-0.6526725333333345,-0.5370727999999986,-0.4374157333333352
BEN,Area|Forest|Age Class|0-20,Million ha,0.3122,0.1991,0.0584,0.0054,0.0,0.0,0.0
BEN,Area|Forest|Age Class|21-40,Million ha,0.1354,0.2375,0.3469,0.3631,0.3122,0.1991,0.0584
BEN,Area|Forest|Age Class|41-60,Million ha,0.006,0.0165,0.0477,0.083,0.1354,0.2375,0.3469
BEN,Area|Forest|Age Class|61+,Million ha,0.0566,0.0571,0.0572,0.0587,0.0626,0.0736,0.1049
BEN,Carbon Stock|Forest|Total,Mt C,7.3018485,8.823992,10.434314,12.053931,13.619055,15.084782,16.424014
BEN,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.9908789423361626,-1.116238566666667,-1.1809028,-1.1877191333333332,-1.1477575999999992,-1.0748664666666674,-0.9821034666666659
BES,Area|Forest|Age Class|0-20,Million ha,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0
BES,Area|Forest|Age Class|21-40,Million ha,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
BES,Area|Forest|Age Class|41-60,Million ha,0.0006,0.0003,0.0003,0.0002,0.0002,0.0001,0.0001
BES,Area|Forest|Age Class|61+,Million ha,0.0013,0.0017,0.0017,0.0018,0.0019,0.002,0.002
BES,Carbon Stock|Forest|Total,Mt C,0.018886009765625,0.018886009765625,0.018886009765625,0.018886009765625,0.018886009765625,0.018886009765625,0.018886009765625
BES,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,1.7187499895543468e-10,0.0,0.0,0.0,0.0,0.0,0.0
BFA,Area|Forest|Age Class|0-20,Million ha,0.0051,0.0041,0.0015,0.0,0.0,0.0,0.0
BFA,Area|Forest|Age Class|21-40,Million ha,0.0012,0.0018,0.0043,0.0055,0.0051,0.0041,0.0015
BFA,Area|Forest|Age Class|41-60,Million ha,0.0003,0.0007,0.0008,0.001,0.0012,0.0018,0.0043
BFA,Area|Forest|Age Class|61+,Million ha,0.0001,0.0001,0.0001,0.0002,0.0004,0.0008,0.0009
BFA,Carbon Stock|Forest|Total,Mt C,0.06719590625,0.0864343984375,0.0989904296875,0.1071269609375,0.1124148203125,0.1158984140625,0.1182748828125
BFA,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.018371187193723958,-0.014108227604166666,-0.00920775625,-0.00596678958333333,-0.003877763541666663,-0.0025546354166666664,-0.0017427437499999993
BGD,Area|Forest|Age Class|0-20,Million ha,0.5756,0.1257,0.0337,0.0015,0.0,0.0,0.0
BGD,Area|Forest|Age Class|21-40,Million ha,1.2919,1.6099,1.3267,0.9473,0.5756,0.1257,0.0337
BGD,Area|Forest|Age Class|41-60,Million ha,0.197,0.324,0.6727,1.0271,1.2919,1.6099,1.3267
BGD,Area|Forest|Age Class|61+,Million ha,0.0086,0.0135,0.04,0.0972,0.2056,0.3375,0.7127
BGD,Carbon Stock|Forest|Total,Mt C,71.594384,87.093792,102.70772,117.672536,129.03052,136.39592,140.941904
BGD,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-12.27679962261214,-11.366232533333324,-11.450213866666667,-10.974198399999999,-8.329188266666668,-5.401293333333329,-3.3337216000000027
BGR,Area|Forest|Age Class|0-20,Million ha,0.0083,0.0029,0.001,0.0,0.0,0.0,0.0
BGR,Area|Forest|Age Class|21-40,Million ha,0.1665,0.0855,0.0411,0.0198,0.0083,0.0029,0.001
BGR,Area|Forest|Age Class|41-60,Million ha,0.9492,0.7454,0.5261,0.3109,0.1665,0.0855,0.0411
BGR,Area|Forest|Age Class|61+,Million ha,3.2472,3.5374,3.803,4.0405,4.1964,4.2828,4.3291
BGR,Carbon Stock|Forest|Total,Mt C,222.09424,228.384416,233.913168,238.77952,243.073232,246.87296,250.246208
BGR,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-5.24745394746836,-4.612795733333314,-4.0544181333333515,-3.5686581333333165,-3.1487221333333326,-2.7864672000000117,-2.4737151999999925
BHS,Area|Forest|Age Class|0-20,Million ha,0.0196,0.0102,0.0051,0.0022,0.0,0.0,0.0
BHS,Area|Forest|Age Class|21-40,Million ha,0.0928,0.0881,0.0616,0.033,0.0196,0.0102,0.0051
BHS,Area|Forest|Age Class|41-60,Million ha,0.012,0.0256,0.0565,0.084,0.0928,0.0881,0.0616
BHS,Area|Forest|Age Class|61+,Million ha,0.0006,0.0011,0.0018,0.0058,0.0126,0.0267,0.0583
BHS,Carbon Stock|Forest|Total,Mt C,2.8555165,3.1583785,3.4228925,3.6510965,3.84629375,4.0121775,4.1524225
BHS,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.2495899554648277,-0.2220988000000001,-0.19397693333333343,-0.16734959999999988,-0.14314465000000007,-0.12164808333333324,-0.10284633333333346
BIH,Area|Forest|Age Class|0-20,Million ha,0.002,0.0014,0.0003,0.0001,0.0,0.0,0.0
BIH,Area|Forest|Age Class|21-40,Million ha,0.0133,0.0077,0.0043,0.0024,0.002,0.0014,0.0003
BIH,Area|Forest|Age Class|41-60,Million ha,0.1387,0.0747,0.0415,0.0246,0.0133,0.0077,0.0043
BIH,Area|Forest|Age Class|61+,Million ha,3.0833,3.1535,3.1912,3.2102,3.222,3.2282,3.2327
BIH,Carbon Stock|Forest|Total,Mt C,148.602784,157.788608,181.674064,326.27504,928.469824,2484.727296,5260.051968
BIH,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-7.00709603748885,-6.73627093333333,-17.51600106666665,-106.04071573333333,-441.6095082666667,-1141.2554794666667,-2035.2380927999998
BLM,Area|Forest|Age Class|0-20,Million ha,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0
BLM,Area|Forest|Age Class|21-40,Million ha,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001
BLM,Area|Forest|Age Class|41-60,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLM,Area|Forest|Age Class|61+,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLM,Carbon Stock|Forest|Total,Mt C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLM,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLR,Area|Forest|Age Class|0-20,Million ha,0.2656,0.1877,0.0455,0.0195,0.0,0.0,0.0
BLR,Area|Forest|Age Class|21-40,Million ha,1.1067,0.7492,0.7114,0.4206,0.2656,0.1877,0.0455
BLR,Area|Forest|Age Class|41-60,Million ha,4.7998,3.8682,2.8642,2.055,1.1067,0.7492,0.7114
BLR,Area|Forest|Age Class|61+,Million ha,7.5081,8.8751,10.0591,11.1851,12.3079,12.7433,12.9233
BLR,Carbon Stock|Forest|Total,Mt C,976.147968,1035.505728,1091.634176,1144.348288,1193.555072,1239.238144,1281.444096
BLR,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-45.68377990070102,-43.52902400000007,-41.16086186666662,-38.65701546666658,-36.08497493333348,-33.50091946666653,-30.951031466666684
BLZ,Area|Forest|Age Class|0-20,Million ha,0.0469,0.0086,0.0024,0.0006,0.0,0.0,0.0
BLZ,Area|Forest|Age Class|21-40,Million ha,0.9963,0.8908,0.6009,0.2656,0.0469,0.0086,0.0024
BLZ,Area|Forest|Age Class|41-60,Million ha,0.0666,0.2025,0.4885,0.8117,0.9963,0.8908,0.6009
BLZ,Area|Forest|Age Class|61+,Million ha,0.2181,0.226,0.2361,0.25,0.2847,0.4285,0.7246
BLZ,Carbon Stock|Forest|Total,Mt C,69.152432,73.867216,76.863168,78.694864,79.786928,80.428128,80.801328
BLZ,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-5.132641879666146,-3.4575082666666623,-2.1970314666666684,-1.3432437333333287,-0.8008469333333389,-0.47021333333333165,-0.2736799999999978
BOL,Area|Forest|Age Class|0-20,Million ha,1.6224,0.843,0.3026,0.0784,0.0,0.0,0.0
BOL,Area|Forest|Age Class|21-40,Million ha,4.5551,3.8587,3.3326,2.4941,1.6224,0.843,0.3026
BOL,Area|Forest|Age Class|41-60,Million ha,4.2731,4.8737,4.9612,4.9069,4.5551,3.8587,3.3326
BOL,Area|Forest|Age Class|61+,Million ha,46.3992,47.2744,48.2534,49.3704,50.6723,52.1481,53.2146
BOL,Carbon Stock|Forest|Total,Mt C,6246.114304,6325.549568,6401.127936,6471.902208,6535.835136,6591.069696,6637.07136
BOL,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-60.84041352573367,-58.2525269333338,-55.42413653333297,-51.90113280000041,-46.88414719999946,-40.50534399999991,-33.734553600000254
BRA,Area|Forest|Age Class|0-20,Million ha,4.3697,1.9776,0.8469,0.2413,0.0,0.0,0.0
BRA,Area|Forest|Age Class|21-40,Million ha,15.8941,13.6392,10.5943,7.6681,4.3697,1.9776,0.8469
BRA,Area|Forest|Age Class|41-60,Million ha,14.0272,16.065,17.2779,16.9895,15.8941,13.6392,10.5943
BRA,Area|Forest|Age Class|61+,Million ha,365.1822,367.7914,370.7541,374.5743,379.2094,383.8564,388.032
BRA,Carbon Stock|Forest|Total,Mt C,49070.477312,49315.119104,49531.940864,49719.021568,49876.856832,50008.137728,50116.018176
BRA,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-195.81435381763924,-179.40398079999625,-159.0026239999992,-137.19251626666664,-115.74586026666752,-96.2726570666695,-79.11232853333058
BRB,Area|Forest|Age Class|0-20,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRB,Area|Forest|Age Class|21-40,Million ha,0.003,0.0019,0.0002,0.0001,0.0,0.0,0.0
