Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
NOR,Area|Forest|Age Class|0-20,Million ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOR,Area|Forest|Age Class|21-40,Million ha,0.0059,0.0022,0.0008,0.0003,0.0,0.0,0.0
NOR,Area|Forest|Age Class|41-60,Million ha,0.2791,0.1162,0.0432,0.0143,0.0059,0.0022,0.0008
NOR,Area|Forest|Age Class|61+,Million ha,14.4401,14.6067,14.6811,14.7105,14.7192,14.7229,14.7243
NOR,Carbon Stock|Forest|Total,Mt C,468.17872,473.646752,479.09968,484.537984,489.96224,495.372928,500.770816
NOR,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-4.021181772780869,-4.009890133333329,-3.998813866666656,-3.988089600000012,-3.9777877333333436,-3.967837866666662,-3.9584512000000167
