Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
NIC,Area|Forest|Age Class|0-20,Million ha,0.1328,0.0244,0.0056,0.0005,0.0,0.0,0.0
NIC,Area|Forest|Age Class|21-40,Million ha,2.2813,1.6582,0.9039,0.3673,0.1328,0.0244,0.0056
NIC,Area|Forest|Age Class|41-60,Million ha,0.6836,1.3688,2.0488,2.4122,2.2813,1.6582,0.9039
NIC,Area|Forest|Age Class|61+,Million ha,0.0852,0.1315,0.2246,0.4029,0.7688,1.5003,2.2734
NIC,Carbon Stock|Forest|Total,Mt C,161.3328,176.300912,192.237344,212.84632,232.277056,246.187168,254.992048
NIC,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-14.407400874625822,-10.976615466666681,-11.686716799999996,-15.113249066666654,-14.249206399999997,-10.200748800000019,-6.456911999999997
