Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
ITA,Area|Forest|Age Class|0-20,Million ha,0.0054,0.0031,0.0026,0.0016,0.0,0.0,0.0
ITA,Area|Forest|Age Class|21-40,Million ha,0.2463,0.1408,0.0609,0.019,0.0054,0.0031,0.0026
ITA,Area|Forest|Age Class|41-60,Million ha,1.5068,1.0283,0.6907,0.4355,0.2463,0.1408,0.0609
ITA,Area|Forest|Age Class|61+,Million ha,6.7428,7.3291,7.7471,8.0452,8.2496,8.3574,8.4378
ITA,Carbon Stock|Forest|Total,Mt C,462.710528,500.700704,536.664704,570.376768,601.809856,631.082752,658.36608
ITA,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-29.03892514743303,-27.859462399999973,-26.37360000000004,-24.722180266666623,-23.050931199999997,-21.466790400000043,-20.007773866666653
