Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
NCL,Area|Forest|Age Class|0-20,Million ha,0.065,0.0294,0.0017,0.0005,0.0,0.0,0.0
NCL,Area|Forest|Age Class|21-40,Million ha,0.6903,0.485,0.2771,0.1398,0.065,0.0294,0.0017
NCL,Area|Forest|Age Class|41-60,Million ha,0.284,0.4939,0.6874,0.7568,0.6903,0.485,0.2771
NCL,Area|Forest|Age Class|61+,Million ha,0.1354,0.1664,0.2085,0.2776,0.4194,0.6603,0.8959
NCL,Carbon Stock|Forest|Total,Mt C,108.723648,123.496992,137.714,151.114336,163.52216,174.837904,185.02528
NCL,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-10.9891546242621,-10.833785600000006,-10.42580586666666,-9.826913066666673,-9.099070933333337,-8.298212266666663,-7.470742400000001
