Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
GTM,Area|Forest|Age Class|0-20,Million ha,0.3304,0.0745,0.0052,0.0003,0.0,0.0,0.0
GTM,Area|Forest|Age Class|21-40,Million ha,2.7792,2.5362,1.9758,1.0178,0.3304,0.0745,0.0052
GTM,Area|Forest|Age Class|41-60,Million ha,0.8257,1.1708,1.6392,2.3966,2.7792,2.5362,1.9758
GTM,Area|Forest|Age Class|61+,Million ha,0.8661,1.0199,1.1812,1.3867,1.6918,2.1907,2.8204
GTM,Carbon Stock|Forest|Total,Mt C,226.025952,242.35344,254.767712,263.981696,270.72032,275.60736,279.136832
GTM,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-15.166311303252495,-11.973491200000012,-9.103799466666654,-6.756921600000007,-4.941657600000012,-3.5838293333333424,-2.5882794666666653
