Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
PRK,Area|Forest|Age Class|0-20,Million ha,5.7542,3.3336,0.9903,0.0,0.0,0.0,0.0
PRK,Area|Forest|Age Class|21-40,Million ha,1.9337,4.2827,6.3987,6.8252,5.7542,3.3336,0.9903
PRK,Area|Forest|Age Class|41-60,Million ha,0.0248,0.0946,0.3202,0.8799,1.9337,4.2827,6.3987
PRK,Area|Forest|Age Class|61+,Million ha,0.0624,0.0642,0.0659,0.07,0.0872,0.1588,0.3861
PRK,Carbon Stock|Forest|Total,Mt C,308.687808,384.26992,442.380672,484.363808,513.758176,534.046016,547.982912
PRK,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-64.25211384186258,-55.42688213333332,-42.61455146666666,-30.787633066666665,-21.555869866666697,-14.877749333333304,-10.220390400000033
