Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
ROU,Area|Forest|Age Class|0-20,Million ha,0.0406,0.0121,0.0012,0.0001,0.0,0.0,0.0
ROU,Area|Forest|Age Class|21-40,Million ha,0.2926,0.2008,0.1362,0.0814,0.0406,0.0121,0.0012
ROU,Area|Forest|Age Class|41-60,Million ha,1.4098,1.0034,0.6841,0.4549,0.2926,0.2008,0.1362
ROU,Area|Forest|Age Class|61+,Million ha,7.4456,7.9723,8.3671,8.6522,8.8554,8.9757,9.0512
ROU,Carbon Stock|Forest|Total,Mt C,635.951808,685.848128,733.55968,778.730432,821.112384,860.556032,896.997632
ROU,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-37.84870839360913,-36.590634666666624,-34.98847146666665,-33.12521813333333,-31.080098133333383,-28.92534186666662,-26.723839999999996
