Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
TUN,Area|Forest|Age Class|0-20,Million ha,0.0007,0.0006,0.0005,0.0001,0.0,0.0,0.0
TUN,Area|Forest|Age Class|21-40,Million ha,0.0065,0.0022,0.0004,0.0007,0.0007,0.0006,0.0005
TUN,Area|Forest|Age Class|41-60,Million ha,0.0307,0.0248,0.0176,0.0122,0.0065,0.0022,0.0004
TUN,Area|Forest|Age Class|61+,Million ha,0.0692,0.0795,0.0886,0.0941,0.0999,0.1043,0.1062
TUN,Carbon Stock|Forest|Total,Mt C,2.2243795,2.35262,2.47916675,2.603724,2.726083,2.846109,2.9637335
TUN,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.09499990551736319,-0.09404303333333332,-0.0928009500000001,-0.09134198333333338,-0.08972993333333325,-0.0880190666666668,-0.08625796666666652
