Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
VGB,Area|Forest|Age Class|0-20,Million ha,0.0003,0.0002,0.0001,0.0001,0.0,0.0,0.0
VGB,Area|Forest|Age Class|21-40,Million ha,0.0001,0.0002,0.0003,0.0003,0.0003,0.0002,0.0001
VGB,Area|Forest|Age Class|41-60,Million ha,0.0002,0.0001,0.0001,0.0,0.0001,0.0002,0.0003
VGB,Area|Forest|Age Class|61+,Million ha,0.0026,0.0027,0.0027,0.0028,0.0028,0.0028,0.0028
VGB,Carbon Stock|Forest|Total,Mt C,0.12762178125,0.131687625,0.134863515625,0.13760603125,0.140171359375,0.14267775,0.1451764375
VGB,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.0039568382089620055,-0.002981618749999994,-0.002328986458333341,-0.002011178124999998,-0.0018812406249999914,-0.001838019791666662,-0.0018323708333333427
