Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
KNA,Area|Forest|Age Class|0-20,Million ha,0.0007,0.0003,0.0001,0.0001,0.0,0.0,0.0
KNA,Area|Forest|Age Class|21-40,Million ha,0.0014,0.0016,0.0015,0.0009,0.0007,0.0003,0.0001
KNA,Area|Forest|Age Class|41-60,Million ha,0.0025,0.0018,0.0011,0.0016,0.0014,0.0016,0.0015
KNA,Area|Forest|Age Class|61+,Million ha,0.0065,0.0074,0.0084,0.0085,0.009,0.0092,0.0095
KNA,Carbon Stock|Forest|Total,Mt C,350720535400.8085,1.592116875,10.032425,25.957094,40.336632,49.361936,54.13278
KNA,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-257195059293.61166,257195059292.75864,-6.189559291666666,-11.6780906,-10.544994533333334,-6.6185562666666655,-3.4986189333333306
