Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
MLI,Area|Forest|Age Class|0-20,Million ha,0.0743,0.0344,0.017,0.0016,0.0,0.0,0.0
MLI,Area|Forest|Age Class|21-40,Million ha,0.0423,0.0785,0.0944,0.1012,0.0743,0.0344,0.017
MLI,Area|Forest|Age Class|41-60,Million ha,0.0055,0.009,0.01,0.0168,0.0423,0.0785,0.0944
MLI,Area|Forest|Age Class|61+,Million ha,0.0,0.0002,0.0007,0.0025,0.0055,0.0092,0.0107
MLI,Carbon Stock|Forest|Total,Mt C,1.278545875,1.781649375,2.3937155,3.123501,3.991875,5.0406825,6.343296
MLI,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-0.29226946223693334,-0.3689425666666666,-0.44884849166666657,-0.5351760333333335,-0.6368075999999998,-0.7691255000000001,-0.9552498999999998
